ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
6400
ITEM: BOX BOUNDS ss pp pp
-9.7926982851326834e+00 3.6894730484111182e+02
0.0000000000000000e+00 1.4440000000000000e+01
0.0000000000000000e+00 1.4440000000000000e+01
ITEM: ATOMS id vx vy vz
3604 -2.43068 -1.61397 1.93849
3588 2.76213 0.575249 4.92587
3589 1.86339 -1.80026 -0.422488
3651 -0.636571 -0.258077 -2.0164
3669 0.616364 -2.24153 4.08418
3654 -1.16273 -0.873014 -0.0684331
3668 1.15735 -2.95421 -3.70067
3653 -1.67136 1.55002 1.763
3652 2.53391 2.63039 -1.40781
3715 2.75864 -0.549074 -0.819612
3733 -0.643506 -2.33392 1.2603
3718 1.79349 -0.915721 2.39656
3732 -0.508656 -0.546619 -0.648228
3716 0.211825 0.571653 0.66734
3717 -1.56364 1.71969 -4.11136
3779 -4.6247 -1.08541 -2.43856
3797 -1.31202 -1.1071 -1.18512
3782 -1.62585 -0.80805 5.04622
3796 0.745102 3.29927 1.30322
3780 -1.5474 -1.38687 -2.51858
3843 -0.273687 -0.517618 2.10168
3861 -1.46096 2.83641 0.997996
3846 -1.63403 -1.42465 1.24123
3860 1.04353 3.73401 0.723825
3845 6.61133 1.19222 0.115927
3907 -0.686609 0.00927094 -1.2301
3925 0.963589 -0.270734 -1.7484
3910 1.30383 2.08287 2.89337
3924 5.71164 -2.55423 0.223021
3909 1.46679 -1.21822 0.991529
3908 1.93767 1.33663 4.01399
3971 -3.14052 0.347037 -0.584984
3989 -0.397265 1.20067 -0.138853
3974 -0.436954 -1.34005 -2.41619
3988 0.258482 1.6015 0.514557
3973 -2.88457 0.306575 2.80801
3972 0.683919 -3.91398 -1.092
4035 -3.77942 0.0943087 -1.1351
4053 -0.156799 0.358445 -1.74791
4038 1.33584 -1.01371 -2.64273
4052 -1.5494 -1.4044 -0.75578
4036 1.19599 -0.434524 0.738869
4099 -0.80535 3.37064 -0.195597
4117 -2.72879 3.15126 1.04763
4113 -2.76637 -0.426949 -1.57402
4102 3.79792 1.82546 1.4746
4116 1.63337 -2.34023 0.954938
4098 -1.50088 -2.43419 -0.316493
4163 -1.37143 -2.07001 -0.0353849
4181 -0.284957 3.55671 1.32118
4166 -0.189494 0.786942 2.05944
4180 2.33034 1.20695 2.60968
4162 -2.36982 0.438462 0.362849
4227 5.83572 0.389929 -2.29533
4245 -0.846424 -0.444453 -0.843585
4230 2.26868 0.690393 0.610668
4244 0.655159 0.735815 -1.47965
4291 1.64971 -2.00438 -2.89176
4309 1.89455 -3.51486 0.688725
4294 0.66772 1.82985 -0.446832
4308 -2.7335 3.34997 1.1781
4293 -0.335123 -3.56144 0.47617
4369 1.63493 1.98185 0.0461563
4373 -0.23923 -5.3925 -2.31655
4355 -4.23404 -0.870838 1.34513
4358 -0.324 -0.257697 5.01291
4372 -2.4052 -1.00946 -0.279826
4437 -2.23811 1.23809 3.07481
4419 1.82624 -1.83741 1.58457
4433 0.716831 1.41302 1.93727
4436 -1.54255 -4.27546 2.78426
4422 -1.69417 -0.125407 -2.59922
4483 -0.301248 1.32416 0.347425
4501 -1.94936 1.86009 -1.6264
4418 -2.40081 1.91394 -2.15947
4486 0.384644 1.6876 -1.92365
4500 -0.841411 -1.29545 -6.75505
4547 -2.03948 -1.04378 0.206841
4565 -2.70525 -2.80645 -1.32381
4561 0.79559 2.61018 -0.610435
4550 0.0874009 -2.23259 -0.340923
4564 2.34287 1.28271 -1.60263
4611 -1.01917 -0.229963 -2.63037
4629 0.837886 -2.22596 -0.41487
4614 1.38472 -1.34328 0.73751
4628 -0.939013 -0.822226 1.13532
4675 -3.13869 0.481608 0.178694
4693 -3.86592 -0.358887 0.939868
4678 -0.519893 -1.75673 0.315067
4692 -0.680549 2.28914 4.15947
4739 -1.80503 -1.23373 -2.09178
4757 -2.81141 -0.507012 -0.415737
4756 1.90186 0.0316828 1.86925
4742 0.99383 -0.326708 2.88219
4803 0.134913 -3.60884 1.58065
4821 -0.666598 1.37823 1.87953
4806 0.461331 2.54668 3.20862
4820 -0.861003 -0.568991 -0.507611
4867 -0.378713 -1.02744 1.5624
4885 -0.400515 -1.7698 2.60068
4870 -1.7309 1.62077 -2.81031
4884 1.26889 -0.874181 4.39988
4931 -3.58601 -0.50049 4.94607
4949 -0.164674 1.28685 0.515545
4866 -0.492965 3.33956 0.840075
4934 -2.6413 3.31213 1.10573
4948 0.843435 5.7765 -0.022501
4995 0.892839 1.92279 2.28714
5013 2.7973 -0.0425892 3.44591
4998 -0.216139 -0.243345 -4.32608
5012 1.56188 1.28739 -1.00706
5059 2.42439 6.38363 -1.13446
5077 3.22024 -3.77473 -0.381134
5062 -0.0275423 -1.44542 0.113174
5076 -1.47369 2.99536 0.683485
5123 -0.839505 1.10073 2.20388
5141 1.03328 -1.47419 -1.34052
5126 2.74538 1.41059 -1.38853
5140 -3.84462 -2.99858 0.342753
5187 -1.33632 -2.97831 -0.959535
5205 -2.14511 0.997695 0.235297
5190 3.07677 1.80403 0.0357709
5204 -1.6813 0.405705 -1.26394
5251 1.50377 1.36391 3.3224
5269 -1.44731 0.196447 -4.213
5265 0.54786 -0.563683 -0.0918805
5254 2.55486 -2.68352 3.97123
5268 0.0748918 -2.41093 -2.19511
5315 -4.57837 -1.08449 1.63683
5333 0.793817 -0.250882 -2.13246
5250 -4.53238 2.18189 -1.57315
5329 2.87259 -1.41279 2.3567
5318 0.619713 -1.17999 -0.140388
5332 -0.740017 1.73926 -1.08198
5379 0.425035 -0.633613 -1.78135
5397 2.62112 2.25306 0.962027
5393 2.05059 -0.407389 -1.05343
5314 2.24849 -1.21847 -6.24766
5382 1.22252 0.873435 -4.58034
5396 0.639131 0.225488 0.458212
5443 1.88686 -0.0165186 1.24774
5461 -1.31059 5.96028 -2.09543
5457 3.61396 1.15032 0.901644
5378 -5.00772 0.960815 -2.8814
5446 0.708749 0.586827 0.0840935
5460 -3.30737 -1.78714 1.10072
5507 -1.87879 -0.854648 -3.69634
5525 -4.25701 0.651748 2.86411
5521 2.27477 0.457559 -1.09578
5510 -2.79417 0.224793 -0.235224
5524 -2.5654 3.33445 2.26716
5571 -0.099926 1.28071 -0.883902
5589 -0.219585 2.44401 1.90904
5506 -1.29839 -0.132447 -0.324681
5574 -0.0507433 5.15648 -1.42497
5588 -1.92853 3.68042 -0.561238
5653 1.82151 -0.111246 1.67118
5635 -1.03103 4.02775 1.14814
5649 2.47427 -1.66096 -0.720457
5638 -2.8215 -2.17919 1.1819
5652 -2.6712 1.0399 1.91293
5699 -4.3462 -0.187562 1.60313
5717 -3.03866 0.423296 1.76948
5713 -3.97239 -1.50924 -1.39278
5634 -0.43875 1.14508 1.35773
5702 -1.49514 -1.01554 -2.02323
5716 -2.80902 -1.7883 -1.03487
5763 -0.278791 -0.252686 1.54374
5781 -1.81276 -0.251749 0.618087
5698 0.221663 -3.20192 3.11208
5777 -1.01471 2.20309 -1.06278
5766 0.0180771 -1.1233 -2.86396
5780 0.699264 0.356145 -2.07021
5827 -0.944306 1.48408 -0.0901359
5845 2.07913 -1.5504 -0.52458
5841 0.702759 3.09956 -0.0677145
5762 1.01847 -0.235377 -3.83038
5830 2.13795 -2.96972 -0.427809
5844 -2.37105 -2.09216 -0.492089
5891 -0.0727568 1.00043 -0.713317
5909 -1.34069 1.27912 0.489309
5826 -0.866882 0.338985 2.75862
5894 -3.6133 -0.220415 0.29118
5908 0.660465 -1.78724 -2.89806
5955 -0.806372 -0.389188 -1.70797
5973 1.53987 3.23062 -3.73991
5969 -3.67889 3.42861 -0.94821
5890 -2.04479 -2.89916 3.80669
5958 1.1582 0.579412 0.0604029
5972 0.984993 2.65325 -0.85905
6019 2.70828 1.40228 -3.99105
6037 -2.32458 0.60868 1.77593
5954 1.30724 1.67442 0.400687
6033 -2.16251 -1.33726 1.33956
6022 -2.36581 1.27099 -1.31917
6036 -0.797415 0.803481 -0.223439
6083 -0.782631 -3.8024 1.90935
6101 -5.26521 -1.50605 1.02797
6018 -1.14002 0.825104 -1.92102
6097 -1.81264 2.26858 -1.16374
6086 0.300073 0.508852 2.26928
6100 -1.40406 -3.05062 1.51716
6147 -0.517527 1.49377 1.40957
6165 -4.17431 -2.3988 2.16057
6150 -2.93976 0.474293 -2.3411
6161 -0.650665 1.74977 1.85306
6082 -1.48245 1.02109 0.0154489
6164 -3.70313 1.06634 -3.05525
6211 3.93392 1.78833 1.80188
6229 -0.0227032 0.58908 -2.50617
6146 -2.88869 -1.02489 -3.52877
6225 -3.4296 -1.19157 -2.80558
6228 1.23621 -1.74528 -2.65264
6214 1.58152 2.41058 -1.91427
6275 -3.94405 1.38418 -3.10398
6293 3.06326 -0.059551 -1.34954
6292 -2.84818 0.103965 -0.0204098
6289 0.362993 -0.297448 -2.06149
6210 2.69506 -1.13542 -0.797323
6274 0.0330778 1.4449 -2.35955
6278 -2.3582 5.66991 1.35182
6339 -4.06508 0.157654 1.91239
6342 2.56574 2.0081 -0.203619
6356 0.212079 -0.443457 1.04514
6357 -2.21203 -1.41123 0.896783
6353 -3.03713 -0.859747 0.691741
6338 -1.23462 -0.536675 -0.712594
19 -0.377436 -3.00986 -0.900919
22 1.26147 -0.996358 2.26232
35 5.26277 0.541995 2.24325
36 0.566902 0.958082 -2.96955
37 -0.510985 0.236918 -2.11882
38 0.0394455 0.168038 -2.27697
33 0.244805 1.32599 3.74708
34 3.94039 -2.46484 -1.46055
18 1.27832 -3.48068 -3.36861
97 2.86735 0.814928 1.93164
99 2.46386 2.55713 -2.56087
101 -1.50374 1.37555 3.15881
83 -0.217364 3.01189 -1.89954
86 -1.82353 0.92923 -2.42515
100 -0.0949906 2.46687 -0.019589
102 1.16981 2.9472 1.18344
98 0.752072 4.43366 -1.29141
147 0.340887 -1.11042 -1.3741
163 0.107578 -4.00594 1.78942
165 1.62688 0.47183 1.91407
150 2.80509 -4.02756 0.420571
164 4.01836 3.97885 -6.89583
166 0.385572 -1.59128 -0.094266
211 0.568402 -0.229609 0.947569
227 0.903348 4.34018 1.19217
229 1.3549 0.339759 1.47844
146 1.33336 -0.699054 -0.879529
161 -0.490046 0.272311 -0.971838
162 2.33533 -0.733604 0.842337
225 -0.958679 6.31225 -3.84415
214 -0.997618 2.22319 1.45207
228 -2.57257 -1.5544 -3.05042
230 0.450226 -3.42304 2.56942
275 1.29717 -1.53149 0.568458
291 -0.234754 1.55185 0.647358
293 0.668273 1.17414 -1.98908
289 -0.00877982 0.295367 4.10489
210 -1.13817 1.0479 0.382085
226 2.06058 0.597564 1.11177
278 -5.51339 -2.4275 -0.376576
292 0.444437 1.14234 0.773854
294 3.76706 -2.07546 -2.27924
339 0.63896 -0.973187 -2.16853
355 -0.439661 0.447065 -2.62903
357 -1.89216 -1.03121 1.0995
290 -2.41623 -0.781622 2.41509
274 1.52783 -1.51777 0.240515
353 2.23006 -0.622612 -1.34639
342 1.80474 0.49708 -1.48711
356 -0.491064 -1.15001 3.048
358 2.04022 -2.77126 -2.48806
403 -0.692445 -1.6477 2.97298
